current_season,month,numerator,population,jurisdiction,estimate,age_group_label,legend 
2022-23,DEC,36879,201249,Arkansas,0.1833,13-17 years,"2022-23, Arkansas: 13-17 years"
2022-23,FEB,498,2226,N. Mariana Islands,0.2237,2-4 years,"2022-23, N. Mariana Islands: 2-4 years"
2023-24,JUL,12,1668393,Texas,7.1925e-06,5-8 years,"2023-24, Texas: 5-8 years"
2023-24,MAR,,,Alabama,,2-4 years,"2023-24, Alabama: 2-4 years"
2023-24,NOV,3391,46976.5,American Samoa,0.0722,Overall,"2023-24, American Samoa: Overall"
2021-22,JAN,9939,65539,Montana,0.1517,13-17 years,"2021-22, Montana: 13-17 years"
2021-22,SEP,,,Hawaii,,65+ years,"2021-22, Hawaii: 65+ years"
2022-23,JUN,20728,104275,Idaho,0.1988,9-12 years,"2022-23, Idaho: 9-12 years"
2022-23,MAY,5394,47529,Marshall Islands,0.1135,18+ years,"2022-23, Marshall Islands: 18+ years"
2022-23,SEP,1113,51927,Montana,0.0214,5-8 years,"2022-23, Montana: 5-8 years"
2023-24,JAN,2294505,7839742,Michigan,0.2927,18+ years,"2023-24, Michigan: 18+ years"
2023-24,MAR,1076405,5774978,Arizona,0.1864,18+ years,"2023-24, Arizona: 18+ years"
2021-22,FEB,,,Virginia,,18+ years,"2021-22, Virginia: 18+ years"
2021-22,JUL,10,370797,Wisconsin,0,13-17 years,"2021-22, Wisconsin: 13-17 years"
2021-22,JUL,4,99629,Idaho,0,5-8 years,"2021-22, Idaho: 5-8 years"
2021-22,JUN,958869,3475334,Kentucky,0.2759,18+ years,"2021-22, Kentucky: 18+ years"
2021-22,MAY,2637996,7220373,California,0.3654,50-64 years,"2021-22, California: 50-64 years"
2022-23,APR,709,1258.5,American Samoa,0.5631,6-23 months,"2022-23, American Samoa: 6-23 months"
2022-23,SEP,2021,139564,New Mexico,0.0145,13-17 years,"2022-23, New Mexico: 13-17 years"
2022-23,SEP,9575,205956,Utah,0.0465,5-8 years,"2022-23, Utah: 5-8 years"
2023-24,DEC,,,Colorado,,50-64 years,"2023-24, Colorado: 50-64 years"
2023-24,JUL,0,17361,Vermont,0,2-4 years,"2023-24, Vermont: 2-4 years"
2023-24,NOV,36174,223181,Missouri,0.1621,2-4 years,"2023-24, Missouri: 2-4 years"
2023-24,OCT,310194,2512075,Maryland,0.1235,18-49 years,"2023-24, Maryland: 18-49 years"
2022-23,APR,597368,3027263,Oklahoma,0.1973,18+ years,"2022-23, Oklahoma: 18+ years"
2022-23,AUG,,,Massachusetts,,13-17 years,"2022-23, Massachusetts: 13-17 years"
2022-23,DEC,150214,742696,Philadelphia,0.2023,18-49 years,"2022-23, Philadelphia: 18-49 years"
2022-23,JUL,23,626171,Illinois,0,9-12 years,"2022-23, Illinois: 9-12 years"
2022-23,MAY,15922,30010.5,Philadelphia,0.5305,6-23 months,"2022-23, Philadelphia: 6-23 months"
2022-23,NOV,,,Hawaii,,13-17 years,"2022-23, Hawaii: 13-17 years"
2021-22,AUG,0,928,Republic of Palau,0,5-8 years,"2021-22, Republic of Palau: 5-8 years"
2021-22,DEC,6876,15908.5,Delaware,0.4322,6-23 months,"2021-22, Delaware: 6-23 months"
2021-22,JUN,44648,103776,Wyoming,0.4302,65+ years,"2021-22, Wyoming: 65+ years"
2021-22,SEP,1263,37112,Montana,0.034,2-4 years,"2021-22, Montana: 2-4 years"
2022-23,DEC,2722,29342,Marshall Islands,0.0928,6 months to 17 years,"2022-23, Marshall Islands: 6 months to 17 years"
2022-23,FEB,,,South Carolina,,9-12 years,"2022-23, South Carolina: 9-12 years"
2023-24,JAN,3191,34647,Federated States of Micronesia,0.0921,6 months to 17 years,"2023-24, Federated States of Micronesia: 6 months to 17 years"
2023-24,JAN,1318405,4780119,Missouri,0.2758,18+ years,"2023-24, Missouri: 18+ years"
2023-24,MAR,,,Colorado,,18+ years,"2023-24, Colorado: 18+ years"
2023-24,OCT,494580,1574667,Georgia,0.3141,65+ years,"2023-24, Georgia: 65+ years"
2021-22,AUG,89,32005,District of Columbia,0.0028,5-8 years,"2021-22, District of Columbia: 5-8 years"
2021-22,DEC,433543,1622553.5,Washington,0.2672,6 months to 17 years,"2021-22, Washington: 6 months to 17 years"
2021-22,JUL,25,1074894.5,Montana,0,Overall,"2021-22, Montana: Overall"
2021-22,SEP,3178,215130,Oklahoma,0.0148,5-8 years,"2021-22, Oklahoma: 5-8 years"
2022-23,AUG,1068,690870,West Virginia,0.0015,18-49 years,"2022-23, West Virginia: 18-49 years"
2022-23,AUG,731,674238,South Dakota,0.0011,18+ years,"2022-23, South Dakota: 18+ years"
2023-24,MAR,72573,201301,Delaware,0.3605,50-64 years,"2023-24, Delaware: 50-64 years"
2023-24,NOV,3622607,21623533,Florida,0.1675,Overall,"2023-24, Florida: Overall"
2023-24,SEP,8610,133827,Alaska,0.0643,50-64 years,"2023-24, Alaska: 50-64 years"
2023-24,SEP,318325,5373433,Tennessee,0.0592,18+ years,"2023-24, Tennessee: 18+ years"
2022-23,DEC,29018,553690.5,Puerto Rico,0.0524,6 months to 17 years,"2022-23, Puerto Rico: 6 months to 17 years"
2022-23,NOV,2,684,Republic of Palau,0.0029,2-4 years,"2022-23, Republic of Palau: 2-4 years"
2022-23,OCT,2343,49666,Federated States of Micronesia,0.0472,18-49 years,"2022-23, Federated States of Micronesia: 18-49 years"
2023-24,FEB,130,5553,U.S. Virgin Islands ,0.0234,5-8 years,"2023-24, U.S. Virgin Islands : 5-8 years"
2023-24,FEB,3259533,11148453,Pennsylvania (excluding Philadelphia County),0.2924,Overall,"2023-24, Pennsylvania (excluding Philadelphia County): Overall"
2023-24,MAR,611337,4619939,Georgia,0.1323,18-49 years,"2023-24, Georgia: 18-49 years"
2021-22,APR,30807,79533.5,Kentucky,0.3873,6-23 months,"2021-22, Kentucky: 6-23 months"
2021-22,DEC,272,1258.5,American Samoa,0.216,6-23 months,"2021-22, American Samoa: 6-23 months"
2021-22,JUN,57222,192782,Oregon,0.2968,5-8 years,"2021-22, Oregon: 5-8 years"
2021-22,MAY,,,Nebraska,,18+ years,"2021-22, Nebraska: 18+ years"
2021-22,NOV,644210,3012504.5,Arkansas,0.2138,Overall,"2021-22, Arkansas: Overall"
2022-23,DEC,120637,569627,Ohio,0.2118,5-8 years,"2022-23, Ohio: 5-8 years"
2022-23,FEB,2684567,8789112,New York (excluding New York City),0.3054,18+ years,"2022-23, New York (excluding New York City): 18+ years"
2022-23,JUL,0,27742,Guam,0,50-64 years,"2022-23, Guam: 50-64 years"
2022-23,JUL,18,460217,Utah,0,50-64 years,"2022-23, Utah: 50-64 years"
2022-23,MAR,414750,1268024,Minnesota,0.3271,6 months to 17 years,"2022-23, Minnesota: 6 months to 17 years"
2023-24,MAR,51760,268337,Utah,0.1929,13-17 years,"2023-24, Utah: 13-17 years"
2023-24,MAR,,,New Jersey,,50-64 years,"2023-24, New Jersey: 50-64 years"
2021-22,APR,260601,839769,Oregon,0.3103,6 months to 17 years,"2021-22, Oregon: 6 months to 17 years"
2021-22,AUG,1,3732,Marshall Islands,0.0003,65+ years,"2021-22, Marshall Islands: 65+ years"
2021-22,JAN,141773,562524,New Jersey,0.252,13-17 years,"2021-22, New Jersey: 13-17 years"
2021-22,JUL,128,211177,Illinois,0.0006,6-23 months,"2021-22, Illinois: 6-23 months"
2021-22,JUL,59756,1344005,Maine,0.0445,Overall,"2021-22, Maine: Overall"
2021-22,OCT,488882,1344005,Maine,0.3638,Overall,"2021-22, Maine: Overall"
2023-24,OCT,2442656,17482580,Florida,0.1397,18+ years,"2023-24, Florida: 18+ years"
2022-23,MAR,1373,2608,American Samoa,0.5265,2-4 years,"2022-23, American Samoa: 2-4 years"
2022-23,MAR,12008,36853,South Dakota,0.3258,2-4 years,"2022-23, South Dakota: 2-4 years"
2023-24,JUL,0,25620,Vermont,0,9-12 years,"2023-24, Vermont: 9-12 years"
2023-24,NOV,608,3546,American Samoa,0.1715,9-12 years,"2023-24, American Samoa: 9-12 years"
2023-24,OCT,22304,121631,Indiana,0.1834,6-23 months,"2023-24, Indiana: 6-23 months"
2023-24,OCT,8354,163445,Iowa,0.0511,9-12 years,"2023-24, Iowa: 9-12 years"
2021-22,APR,15691,18790,Maine,0.8351,6-23 months,"2021-22, Maine: 6-23 months"
2021-22,APR,169629,515686,Pennsylvania (excluding Philadelphia County),0.3289,9-12 years,"2021-22, Pennsylvania (excluding Philadelphia County): 9-12 years"
2021-22,FEB,358404,1526214,Indiana,0.2348,6 months to 17 years,"2021-22, Indiana: 6 months to 17 years"
2021-22,JUN,,,Nebraska,,65+ years,"2021-22, Nebraska: 65+ years"
2021-22,OCT,36748,176399.5,North Dakota,0.2083,6 months to 17 years,"2021-22, North Dakota: 6 months to 17 years"
2022-23,APR,71754,393013,Missouri,0.1826,13-17 years,"2022-23, Missouri: 13-17 years"
2022-23,APR,52982,176399.5,North Dakota,0.3004,6 months to 17 years,"2022-23, North Dakota: 6 months to 17 years"
2022-23,JUL,53097,1344005,Maine,0.0395,Overall,"2022-23, Maine: Overall"
2021-22,APR,240758,707072,Iowa,0.3405,6 months to 17 years,"2021-22, Iowa: 6 months to 17 years"
2021-22,JUN,1778666,6714728,Indiana,0.2649,Overall,"2021-22, Indiana: Overall"
2022-23,AUG,3406,645996,Connecticut,0.0053,65+ years,"2022-23, Connecticut: 65+ years"
2022-23,DEC,96605,377461,Washington,0.2559,5-8 years,"2022-23, Washington: 5-8 years"
2022-23,JAN,33667,105409,District of Columbia,0.3194,50-64 years,"2022-23, District of Columbia: 50-64 years"
2022-23,MAR,2184,3481,American Samoa,0.6274,5-8 years,"2022-23, American Samoa: 5-8 years"
2023-24,OCT,166,3916,N. Mariana Islands,0.0424,9-12 years,"2023-24, N. Mariana Islands: 9-12 years"
2023-24,SEP,,,New Hampshire,,18-49 years,"2023-24, New Hampshire: 18-49 years"
2021-22,APR,1570548,21925627,Texas,0.0716,18+ years,"2021-22, Texas: 18+ years"
2021-22,FEB,183277,1229950,Arkansas,0.149,18-49 years,"2021-22, Arkansas: 18-49 years"
2021-22,JUN,153547,742187,Ohio,0.2069,13-17 years,"2021-22, Ohio: 13-17 years"
2021-22,MAY,,,South Carolina,,50-64 years,"2021-22, South Carolina: 50-64 years"
2021-22,SEP,85375,2437453.5,Georgia,0.035,6 months to 17 years,"2021-22, Georgia: 6 months to 17 years"
2022-23,FEB,407695,1268024,Minnesota,0.3215,6 months to 17 years,"2022-23, Minnesota: 6 months to 17 years"
2022-23,JAN,178101,1997031,Alabama,0.0892,18-49 years,"2022-23, Alabama: 18-49 years"
2023-24,AUG,7093,4619939,Georgia,0.0015,18-49 years,"2023-24, Georgia: 18-49 years"
2023-24,JAN,327,5080,Marshall Islands,0.0644,2-4 years,"2023-24, Marshall Islands: 2-4 years"
2023-24,JAN,138696,587166,Nevada,0.2362,50-64 years,"2023-24, Nevada: 50-64 years"
2023-24,JUL,78,3608589,New Jersey,0,18-49 years,"2023-24, New Jersey: 18-49 years"
2023-24,SEP,125436,1101973,Maine,0.1138,18+ years,"2023-24, Maine: 18+ years"
2021-22,JUN,210,2844,Federated States of Micronesia,0.0738,6-23 months,"2021-22, Federated States of Micronesia: 6-23 months"
2021-22,MAR,2672237,8789112,New York (excluding New York City),0.304,18+ years,"2021-22, New York (excluding New York City): 18+ years"
2021-22,SEP,,,Colorado,,9-12 years,"2021-22, Colorado: 9-12 years"
2022-23,DEC,3691645,12517504,Illinois,0.2949,Overall,"2022-23, Illinois: Overall"
2022-23,OCT,0,5553,U.S. Virgin Islands ,0,5-8 years,"2022-23, U.S. Virgin Islands : 5-8 years"
2022-23,SEP,102445,1222456,Maryland,0.0838,50-64 years,"2022-23, Maryland: 50-64 years"
2023-24,NOV,,,Virginia,,13-17 years,"2023-24, Virginia: 13-17 years"
2023-24,OCT,5885,32606.5,Idaho,0.1805,6-23 months,"2023-24, Idaho: 6-23 months"
2021-22,AUG,867,239102,Alabama,0.0036,5-8 years,"2021-22, Alabama: 5-8 years"
2021-22,AUG,994,332603,Florida,0.003,6-23 months,"2021-22, Florida: 6-23 months"
2021-22,JAN,84636,128594,Vermont,0.6582,65+ years,"2021-22, Vermont: 65+ years"
2021-22,MAR,754320,2337214,New York (excluding New York City),0.3227,50-64 years,"2021-22, New York (excluding New York City): 50-64 years"
2021-22,OCT,,,Nebraska,,Overall,"2021-22, Nebraska: Overall"
2022-23,DEC,14785,157912,Mississippi,0.0936,9-12 years,"2022-23, Mississippi: 9-12 years"
2023-24,MAR,536,5080,Marshall Islands,0.1055,2-4 years,"2023-24, Marshall Islands: 2-4 years"
2023-24,MAR,5840,66724,Federated States of Micronesia,0.0875,18+ years,"2023-24, Federated States of Micronesia: 18+ years"
2023-24,OCT,90470,678480,New York (excluding New York City),0.1333,13-17 years,"2023-24, New York (excluding New York City): 13-17 years"
2023-24,OCT,37608,155850,New York City,0.2413,6-23 months,"2023-24, New York City: 6-23 months"
2022-23,JUL,155,770835,Kentucky,0.0002,65+ years,"2022-23, Kentucky: 65+ years"
2022-23,OCT,256852,2794631,Indiana,0.0919,18-49 years,"2022-23, Indiana: 18-49 years"
2022-23,OCT,32532,176399.5,North Dakota,0.1844,6 months to 17 years,"2022-23, North Dakota: 6 months to 17 years"
2022-23,SEP,58077,381593,Utah,0.1522,65+ years,"2022-23, Utah: 65+ years"
2023-24,JUL,0,104306,New Mexico,0,5-8 years,"2023-24, New Mexico: 5-8 years"
2023-24,JUL,13,1622553.5,Washington,8.0121e-06,6 months to 17 years,"2023-24, Washington: 6 months to 17 years"
2021-22,AUG,2052,816314,Illinois,0.0025,13-17 years,"2021-22, Illinois: 13-17 years"
2021-22,FEB,109,12246,Federated States of Micronesia,0.0089,50-64 years,"2021-22, Federated States of Micronesia: 50-64 years"
2021-22,FEB,426665,1222456,Maryland,0.349,50-64 years,"2021-22, Maryland: 50-64 years"
2021-22,JAN,360395,1278598,Indiana,0.2819,50-64 years,"2021-22, Indiana: 50-64 years"
2021-22,SEP,7775,123698.5,Arizona,0.0629,6-23 months,"2021-22, Arizona: 6-23 months"
2022-23,OCT,172107,760079.5,North Dakota,0.2264,Overall,"2022-23, North Dakota: Overall"
2022-23,SEP,52669,708203.5,District of Columbia,0.0744,Overall,"2022-23, District of Columbia: Overall"
2023-24,AUG,3609,197594,Delaware,0.0183,65+ years,"2023-24, Delaware: 65+ years"
2023-24,MAR,6350,41226,Alaska,0.154,5-8 years,"2023-24, Alaska: 5-8 years"
2021-22,AUG,,,Colorado,,6 months to 17 years,"2021-22, Colorado: 6 months to 17 years"
2021-22,JUL,21,1286583,Puerto Rico,0,18-49 years,"2021-22, Puerto Rico: 18-49 years"
2021-22,JUL,5,45161,Delaware,0.0001,5-8 years,"2021-22, Delaware: 5-8 years"
2021-22,JUL,2,29524,Wyoming,0.0001,5-8 years,"2021-22, Wyoming: 5-8 years"
2021-22,OCT,137798,1335604.5,Missouri,0.1032,6 months to 17 years,"2021-22, Missouri: 6 months to 17 years"
2022-23,APR,1170,10382,Federated States of Micronesia,0.1127,13-17 years,"2022-23, Federated States of Micronesia: 13-17 years"
2022-23,FEB,2032,16061,Guam,0.1265,65+ years,"2022-23, Guam: 65+ years"
2022-23,JUN,53121,164468,South Dakota,0.323,50-64 years,"2022-23, South Dakota: 50-64 years"
2022-23,NOV,37893,192782,Oregon,0.1966,5-8 years,"2022-23, Oregon: 5-8 years"
2023-24,JAN,227398,381593,Utah,0.5959,65+ years,"2023-24, Utah: 65+ years"
2023-24,SEP,408901,8294423,North Carolina,0.0493,18+ years,"2023-24, North Carolina: 18+ years"
2021-22,FEB,743688,1574667,Georgia,0.4723,65+ years,"2021-22, Georgia: 65+ years"
2021-22,JAN,405350,2857609,Tennessee,0.1418,18-49 years,"2021-22, Tennessee: 18-49 years"
2021-22,JAN,1601733,6115723.5,Missouri,0.2619,Overall,"2021-22, Missouri: Overall"
2021-22,JUL,1,163445,Iowa,6.1183e-06,9-12 years,"2021-22, Iowa: 9-12 years"
2021-22,JUL,15,76871,Marshall Islands,0.0002,Overall,"2021-22, Marshall Islands: Overall"
2021-22,MAY,391891,1498072,New York City,0.2616,50-64 years,"2021-22, New York City: 50-64 years"
2022-23,NOV,2189,9510.5,Wyoming,0.2302,6-23 months,"2022-23, Wyoming: 6-23 months"
2022-23,SEP,90206,1299127.5,Maryland,0.0694,6 months to 17 years,"2022-23, Maryland: 6 months to 17 years"
2023-24,DEC,,,Hawaii,,65+ years,"2023-24, Hawaii: 65+ years"
2023-24,FEB,18662,30010.5,Philadelphia,0.6218,6-23 months,"2023-24, Philadelphia: 6-23 months"
2023-24,JUL,8,784957,Oregon,0,50-64 years,"2023-24, Oregon: 50-64 years"
2021-22,AUG,963,712915,Oklahoma,0.0014,50-64 years,"2021-22, Oklahoma: 50-64 years"
2021-22,JUN,1491,4748,American Samoa,0.314,13-17 years,"2021-22, American Samoa: 13-17 years"
2021-22,MAR,37046,268724,Oklahoma,0.1379,13-17 years,"2021-22, Oklahoma: 13-17 years"
2021-22,SEP,274475,5373433,Tennessee,0.0511,18+ years,"2021-22, Tennessee: 18+ years"
2022-23,APR,,,Nebraska,,50-64 years,"2022-23, Nebraska: 50-64 years"
2022-23,NOV,57711,339143,Tennessee,0.1702,9-12 years,"2022-23, Tennessee: 9-12 years"
2023-24,FEB,386,5706,Federated States of Micronesia,0.0676,2-4 years,"2023-24, Federated States of Micronesia: 2-4 years"
2023-24,FEB,282996,653159,Oklahoma,0.4333,65+ years,"2023-24, Oklahoma: 65+ years"
2023-24,NOV,,,South Carolina,,6-23 months,"2023-24, South Carolina: 6-23 months"
2021-22,APR,40699,164299,Kentucky,0.2477,2-4 years,"2021-22, Kentucky: 2-4 years"
2021-22,AUG,1901,1209974,Texas,0.0016,2-4 years,"2021-22, Texas: 2-4 years"
2021-22,JUL,2,203909,Mississippi,9.8083e-06,13-17 years,"2021-22, Mississippi: 13-17 years"
2022-23,APR,756201,3956445.5,Oklahoma,0.1911,Overall,"2022-23, Oklahoma: Overall"
2022-23,DEC,,,Colorado,,5-8 years,"2022-23, Colorado: 5-8 years"
2022-23,JUN,4442,14422,Alaska,0.308,6-23 months,"2022-23, Alaska: 6-23 months"
2022-23,MAR,1,6226,U.S. Virgin Islands ,0.0002,9-12 years,"2022-23, U.S. Virgin Islands : 9-12 years"
2022-23,OCT,67008,929182.5,Oklahoma,0.0721,6 months to 17 years,"2022-23, Oklahoma: 6 months to 17 years"
2022-23,SEP,47618,784957,Oregon,0.0607,50-64 years,"2022-23, Oregon: 50-64 years"
2021-22,AUG,36,154434,Arkansas,0.0002,5-8 years,"2021-22, Arkansas: 5-8 years"
2021-22,FEB,38732,553690.5,Puerto Rico,0.07,6 months to 17 years,"2021-22, Puerto Rico: 6 months to 17 years"
2021-22,FEB,289105,1814542,North Carolina,0.1593,65+ years,"2021-22, North Carolina: 65+ years"
2021-22,MAY,,,Kansas,,2-4 years,"2021-22, Kansas: 2-4 years"
2021-22,NOV,24154,198053,Nevada,0.122,13-17 years,"2021-22, Nevada: 13-17 years"
2022-23,AUG,31469,7839742,Michigan,0.004,18+ years,"2022-23, Michigan: 18+ years"
2022-23,NOV,389507,1091861,Minnesota,0.3567,50-64 years,"2022-23, Minnesota: 50-64 years"
2022-23,SEP,344,49666,Federated States of Micronesia,0.0069,18-49 years,"2022-23, Federated States of Micronesia: 18-49 years"
2023-24,OCT,32598,333492,Tennessee,0.0977,5-8 years,"2023-24, Tennessee: 5-8 years"
2021-22,JAN,79690,451792,Indiana,0.1764,13-17 years,"2021-22, Indiana: 13-17 years"
2021-22,MAR,11316,32285,North Dakota,0.3505,2-4 years,"2021-22, North Dakota: 2-4 years"
2022-23,AUG,15,36097,Marshall Islands,0.0004,18-49 years,"2022-23, Marshall Islands: 18-49 years"
2022-23,FEB,21424,133291,Idaho,0.1607,13-17 years,"2022-23, Idaho: 13-17 years"
2022-23,FEB,,,Colorado,,6 months to 17 years,"2022-23, Colorado: 6 months to 17 years"
2022-23,FEB,367502,874244,Alabama,0.4204,65+ years,"2022-23, Alabama: 65+ years"
2022-23,JUN,171953,857079,New Mexico,0.2006,18-49 years,"2022-23, New Mexico: 18-49 years"
2022-23,NOV,,,Virginia,,13-17 years,"2022-23, Virginia: 13-17 years"
2022-23,NOV,26022,216150,Oklahoma,0.1204,9-12 years,"2022-23, Oklahoma: 9-12 years"
2023-24,FEB,613836,5025173,Texas,0.1222,50-64 years,"2023-24, Texas: 50-64 years"
2023-24,JAN,712977,1047935,Wisconsin,0.6804,65+ years,"2023-24, Wisconsin: 65+ years"
2023-24,JUL,41,816314,Illinois,0.0001,13-17 years,"2023-24, Illinois: 13-17 years"
2021-22,DEC,48918,322724,Alaska,0.1516,18-49 years,"2021-22, Alaska: 18-49 years"
2022-23,DEC,19246,73520,Philadelphia,0.2618,9-12 years,"2022-23, Philadelphia: 9-12 years"
2022-23,JUL,,,Hawaii,,50-64 years,"2022-23, Hawaii: 50-64 years"
2022-23,JUN,12090,34429,Vermont,0.3512,13-17 years,"2022-23, Vermont: 13-17 years"
2022-23,MAY,338927,1478793,Utah,0.2292,18-49 years,"2022-23, Utah: 18-49 years"
2022-23,SEP,48,34647,Federated States of Micronesia,0.0014,6 months to 17 years,"2022-23, Federated States of Micronesia: 6 months to 17 years"
2022-23,SEP,27,3732,Marshall Islands,0.0072,65+ years,"2022-23, Marshall Islands: 65+ years"
2023-24,DEC,619405,4140953,Florida,0.1496,6 months to 17 years,"2023-24, Florida: 6 months to 17 years"
2021-22,MAR,139762,499955,Mississippi,0.2795,65+ years,"2021-22, Mississippi: 65+ years"
2021-22,OCT,15584,108898,Wyoming,0.1431,50-64 years,"2021-22, Wyoming: 50-64 years"
2022-23,APR,52411,105584.5,Maryland,0.4964,6-23 months,"2022-23, Maryland: 6-23 months"
2022-23,AUG,,,Colorado,,5-8 years,"2022-23, Colorado: 5-8 years"
2022-23,AUG,1327,171599,Pennsylvania (excluding Philadelphia County),0.0077,6-23 months,"2022-23, Pennsylvania (excluding Philadelphia County): 6-23 months"
2022-23,DEC,7211,15641.5,American Samoa,0.461,6 months to 17 years,"2022-23, American Samoa: 6 months to 17 years"
2022-23,JAN,21481,113842,Arkansas,0.1887,2-4 years,"2022-23, Arkansas: 2-4 years"
2023-24,JUL,1,301025,Maryland,3.322e-06,9-12 years,"2023-24, Maryland: 9-12 years"
2023-24,OCT,,,Kansas,,65+ years,"2023-24, Kansas: 65+ years"
2023-24,SEP,1099,74811,Puerto Rico,0.0147,2-4 years,"2023-24, Puerto Rico: 2-4 years"
2021-22,AUG,44,203909,Mississippi,0.0002,13-17 years,"2021-22, Mississippi: 13-17 years"
2021-22,JUN,370064,1526214,Indiana,0.2425,6 months to 17 years,"2021-22, Indiana: 6 months to 17 years"
2022-23,AUG,2867,503705,New York (excluding New York City),0.0057,5-8 years,"2022-23, New York (excluding New York City): 5-8 years"
2022-23,MAR,14,928,Republic of Palau,0.0151,5-8 years,"2022-23, Republic of Palau: 5-8 years"
2023-24,MAR,776174,1247874,Washington,0.622,65+ years,"2023-24, Washington: 65+ years"
2023-24,NOV,21771,154434,Arkansas,0.141,5-8 years,"2023-24, Arkansas: 5-8 years"
2021-22,JUN,66861,130262.5,Washington,0.5133,6-23 months,"2021-22, Washington: 6-23 months"
2021-22,MAY,49572,123698.5,Arizona,0.4007,6-23 months,"2021-22, Arizona: 6-23 months"
2022-23,SEP,11351,163419,Connecticut,0.0695,9-12 years,"2022-23, Connecticut: 9-12 years"
2022-23,SEP,291910,5373433,Tennessee,0.0543,18+ years,"2022-23, Tennessee: 18+ years"
2023-24,JAN,920935,3475334,Kentucky,0.265,18+ years,"2023-24, Kentucky: 18+ years"
2021-22,JAN,419276,1222456,Maryland,0.343,50-64 years,"2021-22, Maryland: 50-64 years"
2021-22,JUL,,,Massachusetts,,2-4 years,"2021-22, Massachusetts: 2-4 years"
2021-22,JUL,3,342016,Michigan,8.7715e-06,2-4 years,"2021-22, Michigan: 2-4 years"
2021-22,JUL,38,500397,Pennsylvania (excluding Philadelphia County),0.0001,5-8 years,"2021-22, Pennsylvania (excluding Philadelphia County): 5-8 years"
2021-22,JUN,17916,110338,Mississippi,0.1624,2-4 years,"2021-22, Mississippi: 2-4 years"
2021-22,MAY,18995,54432.5,Arkansas,0.349,6-23 months,"2021-22, Arkansas: 6-23 months"
2023-24,MAR,1351729,4780119,Missouri,0.2828,18+ years,"2023-24, Missouri: 18+ years"
2022-23,JUL,14,222571,Kentucky,0.0001,5-8 years,"2022-23, Kentucky: 5-8 years"
2022-23,JUN,,,Kansas,,6 months to 17 years,"2022-23, Kansas: 6 months to 17 years"
2022-23,MAY,4609,29342,Marshall Islands,0.1571,6 months to 17 years,"2022-23, Marshall Islands: 6 months to 17 years"
2023-24,DEC,9950,32606.5,Idaho,0.3051,6-23 months,"2023-24, Idaho: 6-23 months"
2023-24,DEC,27114,71006.5,Utah,0.3818,6-23 months,"2023-24, Utah: 6-23 months"
2023-24,JAN,264454,2110766,Texas,0.1253,13-17 years,"2023-24, Texas: 13-17 years"
2021-22,APR,533390,987352,Maryland,0.5402,65+ years,"2021-22, Maryland: 65+ years"
2021-22,DEC,143,10568,Republic of Palau,0.0135,18-49 years,"2021-22, Republic of Palau: 18-49 years"
2021-22,JUL,9,133652,Vermont,0.0001,50-64 years,"2021-22, Vermont: 50-64 years"
2021-22,SEP,,,Kansas,,18-49 years,"2021-22, Kansas: 18-49 years"
2021-22,SEP,,,Hawaii,,5-8 years,"2021-22, Hawaii: 5-8 years"
2022-23,FEB,129901,197594,Delaware,0.6574,65+ years,"2022-23, Delaware: 65+ years"
2022-23,MAY,118608,579166.5,Wyoming,0.2048,Overall,"2022-23, Wyoming: Overall"
2023-24,DEC,413488,1101973,Maine,0.3752,18+ years,"2023-24, Maine: 18+ years"
2021-22,JUN,1033,2608,American Samoa,0.3961,2-4 years,"2021-22, American Samoa: 2-4 years"
2021-22,MAY,894,2608,American Samoa,0.3428,2-4 years,"2021-22, American Samoa: 2-4 years"
2022-23,NOV,184904,1926749,Louisiana,0.096,18-49 years,"2022-23, Louisiana: 18-49 years"
2022-23,OCT,89441,1052713,Louisiana,0.085,6 months to 17 years,"2022-23, Louisiana: 6 months to 17 years"
2022-23,SEP,160606,2335478,Pennsylvania (excluding Philadelphia County),0.0688,50-64 years,"2022-23, Pennsylvania (excluding Philadelphia County): 50-64 years"
2022-23,SEP,87600,645996,Connecticut,0.1356,65+ years,"2022-23, Connecticut: 65+ years"
2023-24,AUG,,,Virginia,,50-64 years,"2023-24, Virginia: 50-64 years"
2023-24,JAN,,,Colorado,,6 months to 17 years,"2023-24, Colorado: 6 months to 17 years"
2023-24,JUL,1,51927,Montana,0,5-8 years,"2023-24, Montana: 5-8 years"
2023-24,MAR,16059,187055,Puerto Rico,0.0859,13-17 years,"2023-24, Puerto Rico: 13-17 years"
2021-22,JUL,54,681696.5,Arkansas,0.0001,6 months to 17 years,"2021-22, Arkansas: 6 months to 17 years"
2021-22,MAY,611321,948841,Minnesota,0.6443,65+ years,"2021-22, Minnesota: 65+ years"
2021-22,SEP,191791,1373975,Arizona,0.1396,65+ years,"2021-22, Arizona: 65+ years"
2022-23,AUG,23162,697429,Puerto Rico,0.0332,65+ years,"2022-23, Puerto Rico: 65+ years"
2022-23,AUG,5120,2273653,Mississippi,0.0023,18+ years,"2022-23, Mississippi: 18+ years"
2022-23,JAN,35261,52209,Connecticut,0.6754,6-23 months,"2022-23, Connecticut: 6-23 months"
2023-24,OCT,469,36097,Marshall Islands,0.013,18-49 years,"2023-24, Marshall Islands: 18-49 years"
2022-23,JUL,58,188755.5,Georgia,0.0003,6-23 months,"2022-23, Georgia: 6-23 months"
