current_season,month,numerator,population,jurisdiction,estimate,age_group_label,legend 
2021-22,NOV,,,Rhode Island,,6 months to 17 years,"2021-22, Rhode Island: 6 months to 17 years"
2021-22,OCT,329199,3027263,Oklahoma,0.1087,18+ years,"2021-22, Oklahoma: 18+ years"
2022-23,MAY,2,355.5,Republic of Palau,0.0056,6-23 months,"2022-23, Republic of Palau: 6-23 months"
2023-24,DEC,58393,352593,South Dakota,0.1656,18-49 years,"2023-24, South Dakota: 18-49 years"
2023-24,JAN,2503922,9124576,Ohio,0.2744,18+ years,"2023-24, Ohio: 18+ years"
2023-24,JUL,,,Rhode Island,,50-64 years,"2023-24, Rhode Island: 50-64 years"
2023-24,OCT,80827,514913,New York (excluding New York City),0.157,9-12 years,"2023-24, New York (excluding New York City): 9-12 years"
2023-24,SEP,29004,300529,Maine,0.0965,50-64 years,"2023-24, Maine: 50-64 years"
2022-23,FEB,,,Kansas,,18-49 years,"2022-23, Kansas: 18-49 years"
2022-23,JAN,70495,155850,New York City,0.4523,6-23 months,"2022-23, New York City: 6-23 months"
2022-23,JUN,8,684,Republic of Palau,0.0117,2-4 years,"2022-23, Republic of Palau: 2-4 years"
2022-23,JUN,13013,101371,Federated States of Micronesia,0.1284,Overall,"2022-23, Federated States of Micronesia: Overall"
2022-23,MAR,800884,4391080,New York (excluding New York City),0.1824,18-49 years,"2022-23, New York (excluding New York City): 18-49 years"
2022-23,MAY,,,Nebraska,,13-17 years,"2022-23, Nebraska: 13-17 years"
2021-22,JAN,0,1763,Republic of Palau,0,13-17 years,"2021-22, Republic of Palau: 13-17 years"
2021-22,OCT,13709,181154,Louisiana,0.0757,2-4 years,"2021-22, Louisiana: 2-4 years"
2022-23,APR,1070,6780,Marshall Islands,0.1578,9-12 years,"2022-23, Marshall Islands: 9-12 years"
2022-23,FEB,79108,200231,Ohio,0.3951,6-23 months,"2022-23, Ohio: 6-23 months"
2022-23,MAR,6816,41226,Alaska,0.1653,5-8 years,"2022-23, Alaska: 5-8 years"
2022-23,MAR,16323,149649,Mississippi,0.1091,5-8 years,"2022-23, Mississippi: 5-8 years"
2023-24,MAR,289,38581,U.S. Virgin Islands ,0.0075,18-49 years,"2023-24, U.S. Virgin Islands : 18-49 years"
2022-23,NOV,36872,222571,Kentucky,0.1657,5-8 years,"2022-23, Kentucky: 5-8 years"
2023-24,AUG,26074,2440679,Nevada,0.0107,18+ years,"2023-24, Nevada: 18+ years"
2023-24,AUG,18789,4450995.5,Kentucky,0.0042,Overall,"2023-24, Kentucky: Overall"
2023-24,DEC,78926,364081,West Virginia,0.2168,50-64 years,"2023-24, West Virginia: 50-64 years"
2023-24,JAN,41705,95451.5,Wisconsin,0.4369,6-23 months,"2023-24, Wisconsin: 6-23 months"
2023-24,JUL,0,164468,South Dakota,0,50-64 years,"2023-24, South Dakota: 50-64 years"
2021-22,APR,114196,369112,North Carolina,0.3094,2-4 years,"2021-22, North Carolina: 2-4 years"
2021-22,JUL,95,1209974,Texas,0.0001,2-4 years,"2021-22, Texas: 2-4 years"
2021-22,MAR,665044,2020773,Michigan,0.3291,50-64 years,"2021-22, Michigan: 50-64 years"
2021-22,OCT,19359,71006.5,Utah,0.2726,6-23 months,"2021-22, Utah: 6-23 months"
2022-23,MAR,42995,310939,Alabama,0.1383,13-17 years,"2022-23, Alabama: 13-17 years"
2022-23,MAR,,,Rhode Island,,2-4 years,"2022-23, Rhode Island: 2-4 years"
2022-23,MAR,156687,515686,Pennsylvania (excluding Philadelphia County),0.3038,9-12 years,"2022-23, Pennsylvania (excluding Philadelphia County): 9-12 years"
2021-22,JUN,4,38581,U.S. Virgin Islands ,0.0001,18-49 years,"2021-22, U.S. Virgin Islands : 18-49 years"
2021-22,JUN,14767,79949,West Virginia,0.1847,5-8 years,"2021-22, West Virginia: 5-8 years"
2021-22,MAY,500099,1415568,Washington,0.3533,50-64 years,"2021-22, Washington: 50-64 years"
2021-22,NOV,51222,342016,Michigan,0.1498,2-4 years,"2021-22, Michigan: 2-4 years"
